label,s80,s80_l100,restored_share,neuron,from_loom_syn
single_6905,18.0,4.6665,0.3333333333333333,<NA>_L,290
single_545,18.0,4.6665,0.0,DNp06_R,1280
single_5933,18.0,4.6665,0.0,LT60_R,301
single_6744,18.0,4.6665,0.3333333333333333,SAD064_L,480
single_680,18.3335,4.6665,0.0,DNpe056_R,750
single_803,18.6665,4.6665,0.0,PVLP076_R,762
single_2840,18.3335,4.6665,0.3333333333333333,FB5AB_L,0
single_8874,18.0,4.6665,0.3333333333333333,AN23B003_L,0
single_92,18.0,4.6665,0.3333333333333333,DNp11_R,1659
single_696,18.0,4.3335,0.0,DNp03_L,1828
single_722,18.0,4.3335,0.0,AVLP396_L,428
single_6322,18.0,4.3335,0.0,AVLP259_L,605
single_69173,18.0,4.3335,0.0,PLP219_R,374
single_64853,18.0,4.3335,0.0,AVLP452_R,489
single_143176,17.6665,4.3335,0.0,IN19A017_R,0
single_255,18.0,4.3335,0.3333333333333333,AMMC-A1_R,1309
single_18794,18.0,4.3335,0.0,CL323_R,347
single_1177,18.0,4.3335,0.0,CL319_L,1
single_133627,18.0,4.3335,0.0,<NA>_R,1464
single_144371,18.0,4.3335,0.0,IN00A017_M,0
single_1031,18.0,4.3335,0.0,AVLP562_L,0
single_13955,18.0,4.0,0.0,SAD064_L,380
single_5415,18.0,4.0,0.0,PVLP071_R,926
single_920,18.0,4.0,0.0,PVLP120_R,730
single_5209,18.0,4.0,0.0,SAD064_R,347
single_22179,18.0,4.0,0.0,<NA>_R,308
single_57751,18.0,4.0,0.0,CL323_R,302
single_128681,18.0,4.0,0.0,AVLP452_L,582
single_130618,18.6665,4.0,0.3333333333333333,DNp05_L,717
single_1070,18.0,3.6665,0.0,DNp71_R,398
single_125962,18.3335,3.6665,0.0,PVLP141_R,755
single_2071,18.0,3.6665,0.0,PVLP122_R,1328
single_129722,18.0,3.6665,0.0,AVLP259_L,781
single_6661,18.0,3.6665,0.0,<NA>_R,300
single_6306,18.0,3.6665,0.0,AVLP259_R,661
single_5900,18.0,3.6665,0.0,PVLP071_L,664
single_7861,18.0,3.6665,0.0,<NA>_L,1890
single_915,18.0,3.6665,0.0,DNp03_R,680
single_213,18.0,3.6665,0.0,DNp35_L,690
single_520,18.0,3.6665,0.0,DNp35_R,694
single_57632,18.0,3.6665,0.0,<NA>_R,1271
single_236,18.0,3.6665,0.0,AMMC-A1_L,1852
single_3614,18.0,3.6665,0.0,AVLP430_L,287
single_141637,18.0,3.3335,0.0,LoVP85_L,322
single_10333,18.0,3.3335,0.3333333333333333,CB3400_L,663
single_129875,18.0,3.3335,0.0,LC31b_L,470
single_345,18.6665,3.3335,0.0,PVLP141_L,830
single_304,18.0,3.3335,0.0,PVLP137_R,478
single_2127,18.6665,3.3335,0.0,PVLP151_L,2530
single_9048,18.0,3.3335,0.0,CB3400_R,780
single_1690,18.0,3.0,0.0,LC31b_R,641
single_917,18.0,3.0,0.0,PVLP122_L,1342
single_2699,18.0,3.0,0.0,DNpe020_M,0
single_12,18.0,3.0,0.0,AMMC-A1_L,2027
single_2270,18.0,2.6665,0.0,PVLP069_L,4858
single_132194,18.0,2.6665,0.0,<NA>_R,1359
single_133881,18.0,2.6665,0.0,AMMC-A1_R,1398
single_7610,18.6665,2.6665,0.0,WED125_L,287
single_1101,18.0,2.3335,0.0,AVLP340_L,425
single_143675,18.0,2.3335,0.0,INXXX034_M,0
single_1613,18.0,2.3335,0.0,AVLP258_R,460
single_1799,18.0,2.3335,0.0,LoVP85_R,315
single_11399,18.6665,2.0,0.0,CB1852_L,367
single_130424,18.0,2.0,0.0,PVLP071_L,896
single_238,18.0,0.6665,0.0,DNp11_L,2078
