graph,w,fly,cond,active,MN9_L,MN9_R,DNp01,DNa_L,DNa_R,DNa02_L,DNa02_R,headDN,wall_ms
malecns_all_shuf,0.152,2,sugar40,12.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.22729873657227
malecns_all_shuf,0.152,2,sugar60,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.8852996826172
malecns_all_shuf,0.152,2,sugar80,41.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.83090209960938
malecns_all_shuf,0.152,2,sugar100,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.39510345458984
malecns_all_shuf,0.152,2,sugar150,129.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.8979034423828
malecns_all_shuf,0.152,2,rand0_40,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.7849998474121
malecns_all_shuf,0.152,2,rand0_80,42.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.835693359375
malecns_all_shuf,0.152,2,rand0_150,107.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.0467987060547
malecns_all_shuf,0.152,2,rand1_40,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.97740173339844
malecns_all_shuf,0.152,2,rand1_80,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.76609802246094
malecns_all_shuf,0.152,2,rand1_150,106.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.4009094238281
malecns_all_shuf,0.152,2,rand2_40,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.23149871826172
malecns_all_shuf,0.152,2,rand2_80,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.70789337158203
malecns_all_shuf,0.152,2,rand2_150,84.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.1705017089844
malecns_all_shuf,0.152,2,bitter150,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.62879943847656
