graph,mode,frac,mask,syn_lost
malecns_all,A,0.1,25,0.19080152568538455
malecns_all,A,0.15,25,0.2771267748612647
malecns_all,A,0.2,25,0.35908780070115837
malecns_all,A,0.3,25,0.5086973158631201
malecns_all,A,0.4,25,0.63778790293696
malecns_all,A,0.5,25,0.7450147367814723
malecns_all,A,0.7,25,0.9061231067795774
malecns_all,A,0.85,25,0.9751647340650855
malecns_all,A,0.95,25,0.9958291488962641
malecns_all,A,0.0,26,0.0
malecns_all,A,0.01,26,0.01855967060072689
malecns_all,A,0.02,26,0.040153494480461634
malecns_all,A,0.05,26,0.09802338634085248
malecns_all,A,0.1,26,0.19111337398737993
malecns_all,A,0.15,26,0.2783877540347778
malecns_all,A,0.2,26,0.3580527436369586
malecns_all,A,0.3,26,0.5063662947563027
malecns_all,A,0.4,26,0.6329954757686604
malecns_all,A,0.5,26,0.7437755274043599
malecns_all,A,0.7,26,0.9061401678496455
malecns_all,A,0.85,26,0.9747991546804183
malecns_all,A,0.95,26,0.9960604570144647
malecns_all,A,0.0,27,0.0
malecns_all,A,0.01,27,0.019293619129155573
malecns_all,A,0.02,27,0.03805853053261516
malecns_all,A,0.05,27,0.09415024123433907
malecns_all,A,0.1,27,0.18360834149579755
malecns_all,A,0.15,27,0.2700049472265465
malecns_all,A,0.2,27,0.351577849848167
malecns_all,A,0.3,27,0.5033372452851177
malecns_all,A,0.4,27,0.630767772502983
malecns_all,A,0.5,27,0.7419830346202815
malecns_all,A,0.7,27,0.9045840708658153
malecns_all,A,0.85,27,0.974816094807173
malecns_all,A,0.95,27,0.9958379293808123
malecns_all,A,0.0,28,0.0
malecns_all,A,0.01,28,0.01990289122730904
malecns_all,A,0.02,28,0.03901836085591938
malecns_all,A,0.05,28,0.09862514382780395
malecns_all,A,0.1,28,0.18983854277304602
malecns_all,A,0.15,28,0.27776475890200436
malecns_all,A,0.2,28,0.36063064229784686
malecns_all,A,0.3,28,0.510063483467686
malecns_all,A,0.4,28,0.6364516970225514
malecns_all,A,0.5,28,0.7466619282689079
malecns_all,A,0.7,28,0.9064384140603342
malecns_all,A,0.85,28,0.9755506319263934
malecns_all,A,0.95,28,0.9960196588034324
malecns_all,A,0.0,29,0.0
malecns_all,A,0.01,29,0.019843548374898407
malecns_all,A,0.02,29,0.037217869687385566
malecns_all,A,0.05,29,0.09509719512621669
malecns_all,A,0.1,29,0.1875027968141209
malecns_all,A,0.15,29,0.280864132878451
malecns_all,A,0.2,29,0.36078481277080116
malecns_all,A,0.3,29,0.5095556828094222
malecns_all,A,0.4,29,0.6362326444934356
malecns_all,A,0.5,29,0.7448439245086029
malecns_all,A,0.7,29,0.9051710974572024
malecns_all,A,0.85,29,0.9741376270080158
malecns_all,A,0.95,29,0.9957069719611311
malecns_all,A,0.0,30,0.0
malecns_all,A,0.01,30,0.018054143676753807
malecns_all,A,0.02,30,0.03787542235622311
malecns_all,A,0.05,30,0.0944846978730409
malecns_all,A,0.1,30,0.1879922544031953
malecns_all,A,0.15,30,0.2762085812892986
malecns_all,A,0.2,30,0.3569879506434531
malecns_all,A,0.3,30,0.5083818473246121
malecns_all,A,0.4,30,0.6414806086828624
malecns_all,A,0.5,30,0.7503621163744619
malecns_all,A,0.7,30,0.9075278230495476
malecns_all,A,0.85,30,0.9757689991100669
malecns_all,A,0.95,30,0.9959731117535727
malecns_all,A,0.0,31,0.0
malecns_all,A,0.01,31,0.01888573377348314
malecns_all,A,0.02,31,0.039864665722438034
malecns_all,A,0.05,31,0.09602857151933651
malecns_all,A,0.1,31,0.1894579583546375
malecns_all,A,0.15,31,0.2771950272044245
malecns_all,A,0.2,31,0.35614899913038534
malecns_all,A,0.3,31,0.5062369499141327
malecns_all,A,0.4,31,0.6342859812364029
malecns_all,A,0.5,31,0.7427436632436323
malecns_all,A,0.7,31,0.9064457190364598
malecns_all,A,0.85,31,0.9748718254859587
malecns_all,A,0.95,31,0.9959719910122025
malecns_all,A,0.0,32,0.0
malecns_all,A,0.01,32,0.01951224432523089
malecns_all,A,0.02,32,0.03824882274181942
malecns_all,A,0.05,32,0.09682980484441828
malecns_all,A,0.1,32,0.18461716192389077
malecns_all,A,0.15,32,0.27189477518919847
malecns_all,A,0.2,32,0.35430686314762583
malecns_all,A,0.3,32,0.5019472276591617
malecns_all,A,0.4,32,0.6324003862897176
malecns_all,A,0.5,32,0.7400623983642788
